"school_name","major_group","grand_total"
"102ndStEEC","Early Childhood Development",1018641
"102ndStEEC","Housekeepers",59103
"102ndStEEC","Instructional Materials",9100
"102ndStEEC","Sped-Allocation To Schools For Compliance",574
"102ndStEEC","Sped-Assistants-Preschool",92617
"102ndStEEC","Sped-Ima Allocation To Schools",150
"102ndStEEC","Sped-Teacher-Special Day Program-Preschool",99698
"107thStEL","Administrators (Principals & Assistant Principals)",142984
"107thStEL","Advisors",55389
"107thStEL","Arts Program",38196
"107thStEL","Cafeteria",112032
"107thStEL","Campus Aides",50287
"107thStEL","Certificated Supplemental Time (X, Z, & Professional Development)",848
"107thStEL","Certificated Supplemental Time (X, Z, & Professional Development)",22974
"107thStEL","Classified Overtime, X & Z Time",8000
"107thStEL","Clerical Substitutes",1529
"107thStEL","Clerical Support",6000
"107thStEL","Clerical Support",179494
"107thStEL","Coaches Instructional",22097
"107thStEL","Coaches Instructional",51080
"107thStEL","Coaches Instructional",81342
"107thStEL","Common Core State Standards",64960
"107thStEL","Custodial Overtime & Relief",2000
"107thStEL","Custodial Overtime & Relief",4000
"107thStEL","Custodial Supplies",3000
"107thStEL","Custodial Supplies",5649
"107thStEL","Custodians",38180
"107thStEL","Custodians",127062
"107thStEL","Differentials/Longevities",750
"107thStEL","Early Childhood Development",118229
"107thStEL","Employee Benefits/Adjustments/Public Employee Retirements",-8567
"107thStEL","General Supplies",14365
"107thStEL","Instructional Aides",13142
"107thStEL","Instructional Materials",1000
"107thStEL","Instructional Materials",12912
"107thStEL","Instructional Materials",17000
"107thStEL","Instructional Materials",22500
"107thStEL","Instructional Materials",188018
"107thStEL","Library Aides",9210
"107thStEL","Library Aides",10283
"107thStEL","Nurses",19790
"107thStEL","Nurses",39581
"107thStEL","Nurses",39581
"107thStEL","Parent Involvement",4500
"107thStEL","Parent Involvement",6898
"107thStEL","Parent Involvement",7692
"107thStEL","Psychiatric Social Workers",41760
"107thStEL","Psychologists",5220
"107thStEL","Psychologists",41760
"107thStEL","School Readiness Language Development Program",108571
"107thStEL","Sped-Allocation To Schools For Compliance",5355
"107thStEL","Sped-Assistants",241339
"107thStEL","Sped-Assistants-Preschool",142117
"107thStEL","Sped-Ima Allocation To Schools",689
"107thStEL","Sped-Teacher-Resource Specialist Program",102343
"107thStEL","Sped-Teacher-Special Day Program",255759
"107thStEL","Sped-Teacher-Special Day Program-Preschool",178447
"107thStEL","Substitutes-Day To Day And Long-Term",2779
"107thStEL","Substitutes-Day To Day And Long-Term",5753
"107thStEL","Substitutes-Day To Day And Long-Term",16193
"107thStEL","Substitutes-Day To Day And Long-Term",70172
"107thStEL","Substitutes-Day To Day And Long-Term",109230
"107thStEL","Teacher Assistants",41128
"107thStEL","Teacher Assistants",76967
"107thStEL","Teachers",105954
"107thStEL","Teachers",296862
"107thStEL","Teachers",3141107
"107thStEL","Temporary Personnel Account",20130
"107thStM/SciMag","Clerical Substitutes",129
"107thStM/SciMag","General Supplies",1190
"107thStM/SciMag","Instructional Materials",1120
"107thStM/SciMag","Magnet Schools Resources",1190
"107thStM/SciMag","Magnet Schools Resources",63563
"107thStM/SciMag","Sped-Allocation To Schools For Compliance",64
"107thStM/SciMag","Sped-Ima Allocation To Schools",13
"107thStM/SciMag","Substitutes-Day To Day And Long-Term",9930
"107thStM/SciMag","Teachers",293026
"109thStEL","Administrators (Principals & Assistant Principals)",134834
"109thStEL","Advisors",58045
"109thStEL","Afterschool Programs",1615
"109thStEL","Afterschool Programs",62636
"109thStEL","Arts Program",38196
"109thStEL","Cafeteria",120347
"109thStEL","Campus Aides",21473
"109thStEL","Categorical Program Advisors",58763
"109thStEL","Certificated Supplemental Time (X, Z, & Professional Development)",1675
"109thStEL","Certificated Supplemental Time (X, Z, & Professional Development)",8449
"109thStEL","Classified Overtime, X & Z Time",875
"109thStEL","Clerical Substitutes",838
"109thStEL","Clerical Support",124665
"109thStEL","Coordinators",98954
"109thStEL","Counselors, Pupil Services & Attendance (Psa)",10441
"109thStEL","Custodial Supplies",3912
"109thStEL","Custodians",127062
"109thStEL","Differentials/Longevities",1436
"109thStEL","Employee Benefits/Adjustments/Public Employee Retirements",-8567
"109thStEL","Employee Benefits/Adjustments/Public Employee Retirements",-8567
"109thStEL","General Supplies",7888
"109thStEL","Indirect Cost",3132
"109thStEL","Instructional Materials",36
"109thStEL","Instructional Materials",1000
"109thStEL","Instructional Materials",7232
"109thStEL","Instructional Materials",38042
"109thStEL","Instructional Materials",57012
"109thStEL","Library Aides",10283
"109thStEL","Library Aides",10861
"109thStEL","Nurses",19790
"109thStEL","Nurses",19790
"109thStEL","Parent Involvement",1620
"109thStEL","Parent Involvement",4860
"109thStEL","Psychologists",5220
"109thStEL","Psychologists",10441
"109thStEL","School Readiness Language Development Program",95081
"109thStEL","Sped-Allocation To Schools For Compliance",2168
"109thStEL","Sped-Assistants",198000
"109thStEL","Sped-Ima Allocation To Schools",102
"109thStEL","Sped-Teacher-Resource Specialist Program",100075
"109thStEL","Sped-Teacher-Special Day Program",192595
"109thStEL","Substitutes-Day To Day And Long-Term",2970
"109thStEL","Substitutes-Day To Day And Long-Term",5940
"109thStEL","Substitutes-Day To Day And Long-Term",59580
"109thStEL","Teacher Assistants",11285
"109thStEL","Teachers",1645465
"109thStEL","Temporary Personnel Account",10208
"10thStEL","Administrators (Principals & Assistant Principals)",142984
"10thStEL","Advisors",101697
"10thStEL","Arts Program",38196
"10thStEL","Cafeteria",240385
"10thStEL","Campus Aides",21030
"10thStEL","Certificated Supplemental Time (X, Z, & Professional Development)",848
"10thStEL","Certificated Supplemental Time (X, Z, & Professional Development)",2017
"10thStEL","Certificated Supplemental Time (X, Z, & Professional Development)",46706
"10thStEL","Clerical Substitutes",1226
"10thStEL","Clerical Support",124665
"10thStEL","Coaches Instructional",22097
"10thStEL","Coaches Instructional",81342
