Major group,2014-2015,2015-2016,Percent change,Description
NEW SCHOOLS START UP COSTS,0.29,1.65,4.69,"Start-up costs for new schools, including administrators, counselors, clerical, library supplies, custodians, custodial supplies, instructional materials, general supplies, and professional development days."
COORDINATED EARLY INTERVENING SERVICES,4.72,19.73,3.18,The State mandated a corrective action plan for LAUSD regarding disproportionate representation of certain ethnicities as students with disabilities. The corrective action plan is not about students with disabilities identified for special education services but about Early Intervention Services for general education students needing to reduce referrals for special education.
CLERICAL SUBSTITUTES,3.84,11.81,2.08,Replacement resources for absent clerical support positions.
SCHOOL TECHNOLOGY SUPPORT (MCSA),1.8,5.21,1.89,Microcomputer Support Assistants assigned to provide onsite local technical support for schools.
COUNSELING TIME (REGISTRATION),2.11,5.49,1.6,Resources to support registration prior to school opening. 
CHARTER SCHOOL CATEGORICAL BLOCK GRANT,9.3,23.63,1.54,Categorical Block Grant and Allocation in Lieu of EIA (Economic Impact Aid) for Affiliated Charter Schools from the State.
ONGOING & MAJOR MAINTENANCE,80.03,201.22,1.51,"Regular Routine General Maintenance program, Plant Maintenance, School Bathroom Renovation, & Plant Maintenance Salaries."
CHARTER SCHOOL OVERSIGHT FEE,10.78,25.43,1.36,1% Oversight Fee to provide services to charter schools.
OFF-NORM & ONE TIME SCHOOL ALLOCATIONS,7.4,15.45,1.09,"One-time allocations such as teachers, administrators and clerical positions and other off-norm positions."
INSTRUCTIONAL MATERIALS,158.49,295.07,0.86,Resources that support and/or supplement the core instructional program and operations.
EMPLOYEE BENEFITS/ADJUSTMENTS/PUBLI C EMPLOYEE RETIREMENTS,-23.18,-42.6,0.84,Payment to the state for reduced employer contribution to Public Employees' Retirement System.
ATHLETICS,6.33,11.53,0.82,"Provides auxiliary positions for Athletic Directors, athletic coach differentials, and rental of spectator materiel (i.e. bleachers) for athletic events."
TEXTBOOKS,42.59,74.56,0.75,District funded textbooks.
SPED-ASSISTANTS-PRESCHOOL,21.25,35.4,0.67,Assist preschool teachers with special education students.
"COUNSELORS, PUPIL SERVICES & ATTENDANCE (PSA)",16.92,26.75,0.58,"Counselors working with students, parents, and school personnel to increase student attendance. "
PROPERTY RENTALS,7.45,11.02,0.48,Rental expense for leasing of school facilities.
CHARTER SCHOOL FEE FOR SERVICE,4.4,6.32,0.44,Charter school fees for district provided services.
SPED-EXTENDED SCHOOL YEAR,13.51,19.18,0.42,Resources provided to special education students to prevent instructional regression.
ARTS PROGRAM,22.83,32.38,0.42,Elementary Arts Teachers to support the Arts program.
PSYCHIATRIC SOCIAL WORKERS,9.08,12.81,0.41,"Provides specialized services to identified students to remove emotional, behavioral, and family crisis barriers to learning."
SPED-REIMBURSEMENT-DUE PROCESS,7.59,10.59,0.4,"Reimbursement to parents, schools and agencies based on Due Process agreements involving students with disabilities."
AUDIT FEES AND FINDINGS,6.5,9,0.38,Contract for the District's external audits and audit questions cost.
INTER-FUND TRANSFER CERTIFICATE OF PARTICIPATION (COPS),39,50.88,0.3,"Income and expenditures initially recorded in the General Fund and then transferred, in accordance with accounting requirements, to a special fund."
PROP 39 CLEAN ENERGY,59.91,77.84,0.3,Funds that support retrofit projects which will help ensure long-term energy savings.
E-RATE MATCH/REBATE,20.3,26.02,0.28,Local revenue funding for the E-Rate Match/Rebate program.
